id,name,country,lat,lon,location_precision,description,elevation_m,distance_to_coast_km,climate_zone
96853716,Bayon at Angkor Thom,Cambodia,13.441222854899785,103.85891557744948,precise,"A temple in the Khmer capital of Angkor Thom, constructed in the late 12th or early 13th century CE.",35.0,318.3,tropical
963537714,Bodhgaya,India,24.69918764091671,84.98794203102443,precise,"A town in India traditionally identified as the place in which Gautama Buddha attained enlightenment. One of the four main Buddhist pilgrimage sites, it is home to the Mahabodhi Temple, a UNESCO World Heritage Site.",124.0,416.7,subtropical
965370150,Varaha Cave,India,12.6180857,80.1922234,precise,The modern name of a seventh-century Pallava cave temple in Mahābalipuram.,20.0,44.0,tropical
796757740,Ganeshwar,India,27.67341947019764,75.81536629127508,precise,"Chalcolithic settlement in modern Rajasthan, India. The pre-Harappan settlement, located near copper mines and inhabited during the 4th-3rd millennia BCE, is one of two type-sites of the Ganeshwar-Jodhpura Cultural Complex.",484.0,1012.2,subtropical
770309382,Dharmaraja Cave,India,12.6147635,80.1916985,precise,Modern name of a seventh-century Pallava cave temple in Mahābalipuram.,18.0,44.4,tropical
713767971,Mahabodhi Temple,India,24.695459631707845,84.99144152946182,precise,"One of the four main Buddhist pilgrimage sites, identified as the place where Gautama Buddha attained Enlightenment. The first temple on the site was built by Emperor Asoka in the third century B.C., and the present temple dates from the fifth or sixth centuries. It is one of the earliest Buddhist temples built entirely in brick, still standing in India, from the late Gupta period. The site was largely abandoned from the twelfth-eighteenth centuries. It was named a UNESCO World Heritage Site in 2002.",129.0,416.2,subtropical
781071241,Five Rathas,India,12.60895104105855,80.18959010239806,precise,The Five Rathas is the modern name of a group of five seventh-century Pallava rock-cut temples at Mahābalipuram.,7.0,45.1,tropical
746407955,Basawakkulama Tank,Sri Lanka,8.350635787492518,80.38776202454244,precise,"A reservoir at Anurādhapura in north-central Sri Lanka, originally built in the 4th century BCE and still in use today.",83.0,166.7,equatorial
743295152,Madhukeshwara temple,India,14.53526821417048,75.0171062385693,precise,A Shiva temple at Banavasi in India whose foundation may date as early as the 7th century CE.,579.0,169.1,tropical
73737782,Tanda,India,23.476401,86.358962,precise,16th-century city of Bengal in South Asia,214.0,226.4,tropical
731165748,Punjeri,India,12.6158244,80.1761091,precise,Modern location in the vicinity of Mamallapuram that may have been the site of a port or harbor facility for the ancient city.,9.0,44.8,tropical
698151982,Pattadakal,India,15.950412144336797,75.81603800262538,precise,A group of temples featuring nine Hindu temples and a Jain sanctuary dating to the seventh and eighth centuries CE and connected with the Chalukya dynasty.,526.0,221.5,tropical
694336700,Cave 5 at Udayagiri,India,23.5363125,77.7724056,precise,Cave 5 at Udayagiri is dedicated to Vishnu and contains a monumental relief panel of Vishnu's Varaha avatar.,440.0,720.9,subtropical
60008,Prinas (river),India,25.009326644570564,81.64414397451684,precise,"Pliny the Elder describes the ancient Prinas River as a navigable river that debouches into the Ganges. The Barrington Atlas Map-by-Map Directory indicates that the Prinas corresponds to the modern Tons River. The Tons is a modern-day tributary of the Yamuna River (the ancient Iomanes/Iobares), itself the second-largest tributary of the Ganges.",105.0,707.9,subtropical
60028,Sambalaka,India,27.5,77.5,rough,"An ancient place, cited: BAtlas 6 D4 Sambalaka",183.0,1059.8,subtropical
60090,Toutapos? (river),India,32.67849361077441,74.76957692286175,precise,"An ancient place, cited: BAtlas 6 C3 Toutapos? fl.",269.0,1533.6,subtropical
60005,Prapiotai,India,23.09570707430325,77.38127072756039,precise,An ancient people of Paripātra (W Vindhyas).,489.0,658.2,tropical
60091,Tripuri,India,23.171013,79.857072,precise,"An ancient place, cited: BAtlas 6 D5 Tripuri",385.0,804.9,tropical
60079,Tamalites,India,22.290418,87.915951,precise,A settlement of the Mandalai located on the lower Ganges River.,7.0,45.8,tropical
60043,Sesatai/Bessadae,India,25.61456015080549,91.33956186558702,precise,"An ancient place, cited: BAtlas 6 G4 Sesatai/Bessadae",1554.0,463.8,subtropical
60063,Souannagoura,India,25.584897,88.312399,precise,"An ancient place, cited: BAtlas 6 F4 Souannagoura",33.0,343.0,subtropical
60018,Rhappha?,India,26.045295,84.743581,precise,"An ancient place, cited: BAtlas 6 E4 Rhappha?",59.0,534.1,subtropical
60019,Rhodopha,India,28.12714368771833,78.31090321440459,precise,"Rhodopha was an ancient settlement listed in an itinerary in Megasthenes' Indika as transmitted by the Elder Pliny. As a tentative identification, BAtlas silently followed Rawlinson, who writes ""Said to be Dabhai near Anupshahr"" (p. 42 n. 3).",186.0,1159.5,subtropical
60035,Sarabos (river),India,28.076415215026355,82.0313418985219,precise,"The modern Ghaghara river in India, a major tributary of the Ganges.",414.0,883.8,subtropical
60015,Rarungae,India,26.951333408449813,77.47529749706955,precise,"An ancient people, tribe, or cultural group. Located: Veranjā, in Mathura region?.",207.0,1005.1,subtropical
60054,Siripalla,India,22.939776,79.589819,precise,"An ancient place, cited: BAtlas 6 E5 Siripalla",448.0,827.4,tropical
60003,Poulindai,India,22.94952743144581,79.94807378160549,precise,"An ancient place, cited: BAtlas 6 D5 Poulindai",409.0,791.3,tropical
60097,Vaiśālī,India,25.682066,85.354435,precise,"An ancient place, cited: BAtlas 6 F4 Vaiśālī",48.0,463.2,subtropical
60016,Rājagṛha,India,25.024108,85.420057,precise,"An ancient place, cited: BAtlas 6 F4 Rājagṛha",77.0,405.8,subtropical
60041,Selampoura,India,22.782979,88.587306,precise,"An ancient place, cited: BAtlas 6 F5 Selampoura",5.0,43.1,tropical
60000,Porouaroi?,India,23.463076325234464,79.03112042482962,precise,"An ancient place, cited: BAtlas 6 D5 Porouaroi?",480.0,814.3,tropical
60099,Vidiśā,India,23.523122,77.814463,precise,"An ancient place, cited: BAtlas 6 D5 Vidiśā",435.0,723.0,subtropical
60056,Sobanos (river),India,25.993230455829963,96.81992628218136,precise,An ancient river mentioned by Ptolemy. It may be identifiable with the modern Salween.,418.0,946.8,subtropical
60071,Śuńgas,India,24.57884198233776,82.50832634293745,precise,"An ancient place, cited: BAtlas 6 D5 Śuńgas",336.0,608.5,subtropical
60030,Sambos (river),India,27.5,82.5,rough,"An ancient place, cited: BAtlas 6 E4 Sambos fl.",105.0,806.4,subtropical
60067,Śrāvastī,India,27.722423,81.682871,precise,"An ancient place, cited: BAtlas 6 E4 Śrāvastī",126.0,883.5,subtropical
60010,Pseudostomos,India,22.5,92.5,rough,"An ancient place, cited: BAtlas 6 G5 Pseudostomos",259.0,431.5,tropical
60007,Prasii,India,26.052803827185013,83.11036064738104,precise,"An ancient tribe of India, whose capital was Palimbothra.",80.0,657.7,subtropical
60011,Puṇḍranagara,India,24.870868,89.371189,precise,"An ancient place, cited: BAtlas 6 F5 Puṇḍranagara",22.0,285.3,subtropical
60066,Sourasenoi,India,27.61818034799969,77.09393608367112,precise,"An ancient people, tribe, or cultural group. Located: Mathura region. Skt.: Śūrasena.",200.0,1053.6,subtropical
60027,Salariga,India,23.826933,91.273523,precise,"An ancient place, cited: BAtlas 6 G5 Salariga",14.0,337.9,subtropical
60070,Suari/Uberae,India,22.50177408079373,86.01400543321668,precise,"An ancient place, cited: BAtlas 6 E5 Suari/Uberae",246.0,183.1,tropical
60100,Virāta,India,27.442939,76.171377,precise,"An ancient place, cited: BAtlas 6 D4 Virāta",444.0,999.9,subtropical
60110,Zadadros/Hypasis/Sydrus (river),India,30.82226802489244,75.92922443334163,precise,"An ancient place, cited: BAtlas 6 C3 Zadadros/Hypasis/Sydrus fl.",253.0,1351.7,subtropical
60107,Yaudheyas,India,31.204753529452592,75.81530340336627,precise,"An ancient place, cited: BAtlas 6 D3 Yaudheyas",245.0,1390.4,subtropical
615575177,Preah Ko,Cambodia,13.344314108468597,103.97123915216709,precise,"Temple constructed in the city of Hariharalaya, dedicated in 880 CE by the Khmer king Indravarman I.",21.0,309.4,tropical
688874222,Koh Ker,Cambodia,13.755107382730282,104.54752744642614,precise,"An ancient temple complex of the Khmer Empire, Koh Ker is also known as Lingapura or Chok Gargyar. The site is located in the Srayong commune of Preah, Vihear province's Kulen district. The site was inscribed as a UNESCO World Heritage site in September 2023 and covers some 1,187 ha.",94.0,368.8,tropical
637812857,Karkabhat,India,20.688414061671185,81.32189986910319,precise,"Megalithic site in Chhattisgarh, India containing over 800 burials and several stone monuments dated to the first millennium BCE.",338.0,648.6,tropical
100487408,Srah Srang,Cambodia,13.430892067974725,103.90686492808558,precise,Large baray or reservoir at Angkor constructed in the 10th century CE.,26.0,317.9,tropical
167035137,Vaiṣṇava Temple at Udayagiri,India,23.53945211051204,77.77117554168628,precise,Temple constructed near the Udayagiri cave complex during the Gupta period (ca. 4th-5th century CE).,464.0,721.0,subtropical
168523099,Rakhigarhi,India,29.29132307275164,76.11148221804302,precise,"Large settlement and necropolis site in Haranya, India, associated with the Harappan culture (6000-1900 BCE).",227.0,1192.4,subtropical
119192778,Mamallapuram,India,12.6195981,80.1936497,precise,An ancient settlement and modern town (also known as Mahabalipuram) located on the east coast of peninsular India. It is the site of a large complex of Hindu temples dating to the 7th/8th centuries CE that is registered as a UNESCO World Heritage Site. The city is mentioned in Tamil literature beginning in the 8th century CE. The exact location of the city's harbor and its possible identification with non-Tamil sources (especially Roman ones) remain inconclusive.,9.0,43.8,tropical
110853570,Achutrajpur,India,19.7751174,85.1673161,precise,Ancient settlement and center of Buddhism near modern Banpur with remains from the 7th-12th centuries. Demolished in modern times.,12.0,316.3,tropical
126644698,Shore Temple of Mahabalipuram,India,12.616581549313102,80.19902372129862,precise,"The so-called ""Shore Temple"" of Mahabalipuram is a granite-built tomb at the ""Group of Monuments at Mahabalipuram"" UNESCO World Heritage Site. It dates to the eighth century CE.",6.0,44.0,tropical
12874648,Rukhaegarh,India,25.3261,85.372333,precise,"Settlement site near Nalanda, Bihar District, India, containing remains dated from the Northern Black Polished Ware period through the early Medieval period.",57.0,432.8,subtropical
154636892,Nālandā Mahavihara,India,25.136397002348684,85.4434796266283,precise,"Buddhist monastery and educational center founded during the Gupta Empire (5th century CE). The site was destroyed around 1200 CE. It was located in ancient and medieval Magadha (modern-day Bihar), eastern India.",63.0,412.7,subtropical
897851371,Bhirrana,India,29.55468129365645,75.54795999109017,precise,Bhirrana is an archaeological site located in the Fatehabad district of the north Indian state of Haryana. The site's initial occupation predates the so-called Indus Valley civilization with activity beginning in the 8th-7th millennium BCE.,215.0,1206.1,subtropical
876542161,Cave 1 at Udayagiri,India,23.5325586,77.7706357,precise,"The southernmost cave at Udayagiri, dedicated to an unidentified god.",454.0,720.5,subtropical
847284570,Alahana Parivena,Sri Lanka,7.962000703075716,81.00359526256695,precise,A middle to late eleventh century CE monastic college located outside of Polonnaruwa in Sri Lanka that belonged to King Parakramabahu I.,75.0,232.2,equatorial
839190400,Kanchipuram,India,12.836393,79.7053304,precise,"An ancient city of India, founded in the 4th century BCE and frequently mentioned in literature thereafter, is still a center of religious life and architecture, as well as the textile industry.",87.0,67.0,tropical
830472708,Marakkanam,India,12.1959326,79.9441819,precise,"A modern town in the Villupuram district of Tamil Nadu that was firmly identified in the Barrington Atlas as the location of an emporion named ""Sopatma"", mentioned in the PME.",13.0,36.5,tropical
836684868,Preah Khan,Cambodia,13.46064242958711,103.87399086564356,precise,Temple at Angkor dedicated in 1191 CE under Jayavarman VII. The temple entered a period of decline beginning in the 15th century.,38.0,320.7,tropical
835093310,Group of monuments at Mahabalipuram (Q3522747),India,12.617287146018716,80.19164855767,precise,This group of sanctuaries was carved out of rock along the Coromandel coast in the seventh and eighth centuries. The Group of Monuments at Mahabalipuram is a UNESCO World Heritage site.,14.0,44.1,tropical
835369289,Angkor Wat,Cambodia,13.412487199530515,103.86668284407146,precise,"The principal temple of Angkor, the capital city of the Khmer empire, Angkor Wat was constructed in the 12th century CE. Angkor was inscribed as a UNESCO World Heritage site in 1992.",38.0,315.3,tropical
49922,Bittigo M.,India,10.567355478899778,76.81426578787415,precise,"An ancient place, cited: BAtlas 5 D4 Bittigo M.",233.0,284.5,tropical
49934,Calingae,India,19.54520400098917,84.73048497491246,precise,The Calingae were a people of ancient India.,28.0,367.9,tropical
49918,Bhokardan,India,20.252014,75.769909,precise,"An ancient place, cited: BAtlas 5 D2 Bhokardan",578.0,340.8,tropical
49954,Cydara (river),India,10.0,80.0,rough,"An ancient place, cited: BAtlas 5 inset Cydara fl.",0.0,22.2,equatorial
49903,Barous(s)ai? (islands),India,8.155266766666667,93.23463946666668,precise,The Nicobar Islands,0.0,974.6,equatorial
49939,Kaveripumpattinam/Poombuhar,India,11.1452914,79.8537308,precise,"This ancient settlement and seaport was located on the southeastern coast of peninsular India in the vicinity of the modern village of Poompuhar/Poombuhar. Excavations (including a wood-then-brick-built wharf carbon-dated to ca. 250 BCE), as well as epigraphic and literary evidence, demonstrate a thriving seaborne trade and Buddhist religious center through to the 7th century CE. The place was known to the Romans as Chaberis (Ptolemy) and Kamara (PME).",6.0,84.1,tropical
49978,Eyyal,India,10.490381,76.275437,precise,"An ancient place, cited: BAtlas 5 D4 Eyyal",15.0,297.8,tropical
49958,Dandagula/Dantapura/Paloura,India,18.3592355,83.917687,precise,"The name ""Dandagula"" (Pliny) has long been identified with a ""Dantapura"" mentioned in Buddhist texts and ""Paloura"" (Ptolemy) has long been identified as coincident. Law 1976 (whence BAtlas) places them at the former fortified settlement of Dantapura, ""on the southern bank of the river Vamśadharā, three miles from Chicacole Road Station"". Dayalan 2019 passes over Law's suggestion in silence and follows Gerini 1909 in identifying Ptolemy's Paloura with modern Palur.",38.0,519.6,tropical
49935,Calingon Pr.,India,17.5,82.5,rough,"An ancient place, cited: BAtlas 5 E3 Calingon Pr.",47.0,553.2,tropical
49990,Gondaloi,India,16.048306644084846,74.94796574496029,precise,"Kuntalas, an ancient people in Mysore.",600.0,137.1,tropical
49945,Chersonesos,India,14.811768,74.131102,precise,"An ancient place, cited: BAtlas 5 C4 Chersonesos",9.0,84.4,tropical
49912,Benagouron,India,16.642933,81.004404,precise,"An ancient place, cited: BAtlas 5 E3 Benagouron",16.0,412.1,tropical
49953,Cottonara,India,9.004191350292476,76.88894218680161,precise,"Pliny the Elder identifies Cottonara as a district known for pepper, which was conveyed to Becare via dug-out canoes.",80.0,120.9,equatorial
49924,Boragoda,Sri Lanka,7.117366,81.231243,precise,"An ancient place, cited: BAtlas 5 inset Boragoda",264.0,168.6,equatorial
49909,Batoi,India,10.904530231788655,79.49692728269049,precise,"An ancient people, tribe, or cultural group. Located: Kaverī Delta.",18.0,115.5,tropical
49933,Calamina,India,12.846573,80.170138,precise,"An ancient place, cited: BAtlas 5 E4 Calamina",11.0,22.1,tropical
49972,Elankoros,India,8.19228,77.265021,precise,"An ancient place, cited: BAtlas 5 D5 Elankoros",21.0,27.8,equatorial
49925,Boreion Pr.,Sri Lanka,9.835,80.212,precise,The northernmost point of the island of Sri Lanka.,1.0,23.6,equatorial
49952,Colombo,Sri Lanka,6.932385848675455,79.85269426215123,precise,"An ancient place, cited: BAtlas 5 inset Colombo",6.0,110.5,equatorial
49944,Chavadipalaiyam,India,11.100144,77.68957,precise,"An ancient place, cited: BAtlas 5 D4 Chavadipalaiyam",208.0,246.6,tropical
49991,Gootiparti,India,16.96695,79.386282,precise,"An ancient place, cited: BAtlas 5 D3 Gootiparti",184.0,451.9,tropical
49951,Coliacum/Kalligikon Pr.,India,10.2781938,79.8258095,precise,"An ancient place, cited: BAtlas 5 D4 Coliacum/Kalligikon Pr.",2.0,56.5,tropical
49906,Bassa (island),Sri Lanka,6.18202,81.48132,precise,"An ancient place, cited: BAtlas 5 inset Bassa Ins.",0.0,143.1,equatorial
49910,Batticaloa,Sri Lanka,7.735421,81.682337,precise,"An ancient place, cited: BAtlas 5 inset Batticaloa",8.0,253.0,equatorial
49947,Choromandae,India,12.678589508107486,79.47637078700315,precise,"An ancient people, tribe, or cultural group. Located: people of Coromandel coast?",100.0,93.4,tropical
49984,Ganges (river in Sri Lanka),Sri Lanka,7.07429741452205,80.57353523911175,precise,"This ancient name is probably to be associated with the modern Mahaweli, which is the longest river of Sri Lanka.",648.0,126.4,equatorial
49992,Gumada,India,17.900337,83.407061,precise,"An ancient place, cited: BAtlas 5 E3 Gumada",30.0,593.8,tropical
49988,Gintota,Sri Lanka,6.0637143,80.1759516,precise,A modern settlement on the southwest coast of Sri Lanka. The discovery of Roman bronze coins of the fourth and fifth centuries CE were reported in the early 20th century in the vicinity of Gintota.,5.0,7.6,equatorial
49967,Dosaron (river),India,22.5,87.5,rough,"An ancient place, cited: BAtlas 5 F2 Dosaron fl.",19.0,82.2,tropical
49926,Brahmagiri,India,14.660387,76.772076,precise,"An ancient place, cited: BAtlas 5 D4 Brahmagiri",580.0,332.5,tropical
49927,Budinathan,India,10.370429,77.25846,precise,"An ancient place, cited: BAtlas 5 D4 Budinathan",400.0,253.8,tropical
49931,Cabirus (river),India,11.93251178217356,77.10451499147801,precise,"An ancient river of peninsular India, known to Pliny as Cabirus and to Ptolemy as Chabēros. Scholars identify it with the modern Kāverī.",743.0,293.3,tropical
49911,Bazakata? (island),India,19.21563373147177,93.38353411481158,precise,"An ancient place, cited: BAtlas 5 G3 Bazakata? Ins.",0.0,642.1,tropical
49907,Bata,India,10.37826,78.827628,precise,"An ancient place, cited: BAtlas 5 D4 Bata",102.0,143.6,tropical
49961,Desarene,India,20.45581557901068,85.48611060294839,precise,"An ancient place, cited: BAtlas 5 E2 Desarene",49.0,244.7,tropical
49998,Hikkaduwa,Sri Lanka,6.129456741721451,80.11780514431346,precise,"An ancient place, cited: BAtlas 5 inset Hikkaduwa",7.0,17.0,equatorial
49957,Dagana,Sri Lanka,5.979566853778961,80.69206949557113,precise,"An ancient city of southern Sri Lanka. It was characterized by Ptolemy as ""sacred to Selene"", a description repeated in the Arabic geographic tradition. Its precise location is uncertain: BAtlDir echoes earlier suggestions (see RE) that tentatively identify it with Tangalla, but RE would prefer as ""more likely"" an identification with the temple complex and associated settlement at Tenavaram (modern Tongra), an identification also suggested by earlier scholars.",28.0,54.5,equatorial
49916,Bhagavanpavam,India,18.538293,84.168049,precise,"An ancient place, cited: BAtlas 5 E3 Bhagavanpavam",35.0,486.8,tropical
49941,Chandravalli,India,14.042306,76.447865,precise,"An ancient place, cited: BAtlas 5 D4 Chandravalli",764.0,327.6,tropical
49995,Hendala,Sri Lanka,6.972562,79.873839,precise,"An ancient place, cited: BAtlas 5 inset Hendala",6.0,114.0,equatorial
49917,Bhatkuli,India,15.81095,77.507825,precise,"An ancient place, cited: BAtlas 5 D3 Bhatkuli",345.0,398.5,tropical
49901,Baris (river),India,9.377496532851488,76.85072642424458,precise,"An ancient place, cited: BAtlas 5 D5 Baris fl.",127.0,159.0,equatorial
49956,Dachinabades,India,19.167558683363467,78.31466548337144,precise,"An ancient place, cited: BAtlas 5 D2 Dachinabades",343.0,579.8,tropical
49921,Bishopsdown,India,11.309907,76.698626,precise,"An ancient place, cited: BAtlas 5 D4 Bishopsdown",1835.0,344.1,tropical
49999,Hippokoura,India,16.569362,74.35932,precise,"An ancient place, cited: BAtlas 5 C3 Hippokoura",547.0,133.1,tropical
49871,Argarou,India,11.097740890827586,78.67343905322404,precise,"An ancient place, cited: BAtlas 5 D4 Argarou",115.0,151.7,tropical
49884,Attikuli,Sri Lanka,8.897691,79.972546,precise,"An ancient place, cited: BAtlas 5 inset Attikuli",6.0,100.4,equatorial
49892,Balita/Bambala,India,8.380214,76.990276,precise,"An ancient place, cited: BAtlas 5 D5 Balita/Bambala",20.0,64.2,equatorial
49847,Akkialur,India,15.271778,75.060545,precise,"An ancient place, cited: BAtlas 5 C3 Akkialur",581.0,137.5,tropical
49846,Akkenpalle,India,17.767529,78.773453,precise,"An ancient place, cited: BAtlas 5 D3 Akkenpalle",556.0,554.8,tropical
49850,Alagankulam,India,9.358891,78.9793549,precise,"The ancient settlement associated with the modern village of Alagankulam on the Vaigai river in Tamil Nadu is thought to have been an ancient seaport though now positioned some 3 kilometers from the coast. The immediate area has produced local and imported ceramics (including Mediterranean amphorae and Roman potsherds), as well as fourth-century Roman coins.",6.0,122.2,equatorial
49870,Argarikos Kolpos,Sri Lanka,9.3229187,79.8488668,precise,"An ancient place, cited: BAtlas 5 D4 Argarikos Kolpos",0.0,55.6,equatorial
49836,Adam,India,20.766373,78.759421,precise,"An ancient place, cited: BAtlas 5 D2 Adam",250.0,653.3,tropical
49860,Andrisimoundou (Akron),Sri Lanka,9.043863200822926,79.81495959977401,precise,"An ancient place, cited: BAtlas 5 inset Andrisimoundou (Akron)",5.0,86.5,equatorial
49856,Ampitiya,Sri Lanka,6.790699,81.431589,precise,"An ancient place, cited: BAtlas 5 inset Ampitiya",142.0,162.0,equatorial
49895,Banabasi,India,14.535519,75.01242,precise,A settlement in south India that has served as a regional administrative and sacred center since at least the beginning of the first millennium CE.,561.0,168.7,tropical
49883,Athirala,India,14.020422,79.030061,precise,"An ancient place, cited: BAtlas 5 D4 Athirala",616.0,178.1,tropical
49843,Aioi,India,8.717024137559111,76.85062411335839,precise,"An ancient people, tribe, or cultural group. Located: S Kerala coast.",39.0,99.0,equatorial
49855,Amaravati,India,16.385871,80.1347,precise,"An ancient place, cited: BAtlas 5 E3 Amaravati",65.0,376.9,tropical
49879,Arouarnoi,India,12.597511428219192,79.82866687152996,precise,"An ancient people, tribe, or cultural group. Located: people on Tamil Nadu coast.",47.0,67.9,tropical
49896,Bangalore,India,12.968424,77.590624,precise,"An ancient place, cited: BAtlas 5 D4 Bangalore",919.0,267.7,tropical
49863,Anurādhapura,Sri Lanka,8.32444,80.4127603,precise,"The ancient capital of Sri Lanka from the fourth century BCE to the 11th century CE. It was recorded under the name Anourogrammon by Ptolemy, who notes its primary political status (Basileion). It has sometimes been argued that a ""Palaesimundum"" mentioned by Pliny in retelling the story of a Sri Lankan embassy to the emperor Claudius is also to be identified with Anourogrammon. A large number of numismatic finds from many periods have been reported in the vicinity.",90.0,170.2,equatorial
49862,Annamalai,India,12.5,77.5,rough,"An ancient place, cited: BAtlas 5 D4 Annamalai",759.0,258.7,tropical
49835,Abour,India,10.99906,79.641886,precise,"An ancient place, cited: BAtlas 5 D4 Abour",11.0,101.7,tropical
49874,Ariake Sadenon,India,18.143053494109164,74.49926834869882,precise,"This name, transmitted by Ptolemy, corresponds to a region of India in the Konkan coast and hinterland, including the general area of modern Mumbai and Pune.",557.0,202.9,tropical
49858,Andarae,India,16.82018311971633,81.45822730294078,precise,"An ancient place, cited: BAtlas 5 E3 Andarae",9.0,442.6,tropical
49878,Arouaia M.,India,14.078904512618754,78.95764465550293,precise,"An ancient place, cited: BAtlas 5 D4 Arouaia M.",550.0,188.3,tropical
49854,Alosygni,India,16.6303373,82.0256534,precise,"An ancient ""emporion"" listed by Ptolemy on the east coast of India. He also remarks that it is the ""aphoterion"" (point of departure) for those sailing out to the Chryse Chersonnesos. BAtlas tentatively identifies it with modern Vilasa in the Ghodivari river delta in the east Indian state of Andhra Pradesh.",13.0,444.2,tropical
49849,Akour,India,9.929814,79.084495,precise,"An ancient place, cited: BAtlas 5 D5 Akour",12.0,101.3,equatorial
49873,Argyra Chora,India,20.39820598855183,93.3412247598826,precise,"An ancient place, cited: BAtlas 5 G2 Argyra Chora",2.0,571.6,tropical
49845,Akhilandapuram,India,10.88677,77.505862,precise,"An ancient place, cited: BAtlas 5 D4 Akhilandapuram",311.0,274.3,tropical
49853,Aloe,India,10.109984,76.353203,precise,"An ancient place, cited: BAtlas 5 D4 Aloe",12.0,256.5,tropical
49890,Bakare,India,9.35099,76.36792,precise,"An ancient port settlement on the southwest coast of India, mentioned by the Periplus, Pliny, and Ptolemy. Casson (whence BAtlas) places it at modern Pirakkād/Purakkad in the state of Kerala.",9.0,186.6,equatorial
49886,Azanos? (river),India,10.0,80.0,rough,"An ancient place, cited: BAtlas 5 inset Azanos? fl.",0.0,22.2,equatorial
49868,Arasankuppam,India,12.737908,80.115092,precise,"An ancient place, cited: BAtlas 5 E4 Arasankuppam",27.0,35.4,tropical
